id,name,subcategories,parent,leaf_flag,parents,number_parents,subcategory_names,parent_names,target_category,human_category
0,Main,"[1, 149, 240, 255, 337, 414, 455]",,No,[],0,"['Women', 'Men', 'Unisex', 'Kids', 'Home & Decor', 'Hair & Beauty', 'Media']",[],Main,N/A
1,Women,"[2, 101, 118, 128]",0,No,[0.0],0,"['Clothing', 'Shoes', 'Handbags', 'Accessories']",['Main'],,Women
2,Clothing,"[3, 12, 19, 35, 50, 51, 60, 61, 66, 72, 73, 80, 85, 86]",1,No,"[1.0, 0.0]",1,"['Jeans', 'Dresses', 'Intimate Wear', 'Coats & Jackets', 'Jumpsuits & Rompers', 'Pants', 'Shorts', 'Sleepwear', 'Skirts', 'Suits', 'Sweaters', 'Swimwear', 'Sweatshirts & Hoodies', 'Tops']","['Women', 'Main']","Main,Clothing",Women
3,Jeans,"[4, 5, 6, 7, 8, 9, 10, 11]",2,No,"[2.0, 1.0, 0.0]",2,"['Classic', 'Distressed', 'Flare', 'Relaxed', 'Skinny', 'Straight', 'Stretch', 'Maternity']","['Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
4,Classic,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
5,Distressed,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
6,Flare,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
7,Relaxed,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
8,Skinny,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
9,Straight,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
10,Stretch,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
11,Maternity,[],3,Yes,"[3.0, 2.0, 1.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Jeans",Women
12,Dresses,"[13, 14, 15, 16, 17, 18]",2,No,"[2.0, 1.0, 0.0]",2,"['Bridal Dresses', 'Casual Dresses', 'Cocktail Dresses', 'Day Dresses', 'Evening Dresses', 'Maternity']","['Clothing', 'Women', 'Main']","Main,Clothing,Dresses",Women
13,Bridal Dresses,[],12,Yes,"[12.0, 2.0, 1.0, 0.0]",3,[],"['Dresses', 'Clothing', 'Women', 'Main']","Main,Clothing,Dresses,Formal Dresses",Women
14,Casual Dresses,[],12,Yes,"[12.0, 2.0, 1.0, 0.0]",3,[],"['Dresses', 'Clothing', 'Women', 'Main']","Main,Clothing,Dresses,Casual Dresses",Women
15,Cocktail Dresses,[],12,Yes,"[12.0, 2.0, 1.0, 0.0]",3,[],"['Dresses', 'Clothing', 'Women', 'Main']","Main,Clothing,Dresses,Casual Dresses",Women
16,Day Dresses,[],12,Yes,"[12.0, 2.0, 1.0, 0.0]",3,[],"['Dresses', 'Clothing', 'Women', 'Main']","Main,Clothing,Dresses,Casual Dresses",Women
17,Evening Dresses,[],12,Yes,"[12.0, 2.0, 1.0, 0.0]",3,[],"['Dresses', 'Clothing', 'Women', 'Main']","Main,Clothing,Dresses,Formal Dresses",Women
18,Maternity,[],12,Yes,"[12.0, 2.0, 1.0, 0.0]",3,[],"['Dresses', 'Clothing', 'Women', 'Main']","Main,Clothing,Dresses",Women
19,Intimate Wear,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",2,No,"[2.0, 1.0, 0.0]",2,"['Bras', 'Camisole', 'Chemises', 'Nightgowns', 'Hosiery', 'Pajamas', 'Lingerie', 'Panties', 'Maternity', 'Robes', 'Socks', 'Shapewear', 'Slippers', 'Thongs', 'Sport Bras & Underwear']","['Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
20,Bras,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
21,Camisole,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
22,Chemises,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
23,Nightgowns,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
24,Hosiery,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
25,Pajamas,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
26,Lingerie,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
27,Panties,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
28,Maternity,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
29,Robes,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
30,Socks,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
31,Shapewear,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
32,Slippers,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
33,Thongs,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Intimate Wear",Women
34,Sport Bras & Underwear,[],19,Yes,"[19.0, 2.0, 1.0, 0.0]",3,[],"['Intimate Wear', 'Clothing', 'Women', 'Main']","Main,Clothing,Underwear & Socks",Women
35,Coats & Jackets,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,No,"[2.0, 1.0, 0.0]",2,"['Coats', 'Fur Coats', 'Activewear', 'Leather Coats', 'Puffers', 'Raincoats & Trench Coats', 'Wool Coats', 'Blazers', 'Jackets', 'Casual Jackets', 'Vests', 'Maternity', 'Leather Jackets', 'Denim Jackets']","['Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
36,Coats,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
37,Fur Coats,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
38,Activewear,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
39,Leather Coats,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
40,Puffers,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
41,Raincoats & Trench Coats,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
42,Wool Coats,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
43,Blazers,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
44,Jackets,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
45,Casual Jackets,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
46,Vests,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
47,Maternity,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
48,Leather Jackets,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
49,Denim Jackets,[],35,Yes,"[35.0, 2.0, 1.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Women', 'Main']","Main,Clothing,Coats & Jackets",Women
50,Jumpsuits & Rompers,[],2,Yes,"[2.0, 1.0, 0.0]",2,[],"['Clothing', 'Women', 'Main']","Main,Clothing,Jumpers & Rompers",Women
51,Pants,"[52, 53, 54, 55, 56, 57, 58, 59]",2,No,"[2.0, 1.0, 0.0]",2,"['Casual Pants', 'Cropped Pants', 'Dress Pants', 'Leggings', 'Skinny Pants', 'Activewear', 'Maternity', 'Wide Leg Pants']","['Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
52,Casual Pants,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
53,Cropped Pants,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
54,Dress Pants,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
55,Leggings,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Leggings",Women
56,Skinny Pants,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
57,Activewear,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants,Activewear",Women
58,Maternity,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
59,Wide Leg Pants,[],51,Yes,"[51.0, 2.0, 1.0, 0.0]",3,[],"['Pants', 'Clothing', 'Women', 'Main']","Main,Clothing,Pants",Women
60,Shorts,[],2,Yes,"[2.0, 1.0, 0.0]",2,[],"['Clothing', 'Women', 'Main']","Main,Clothing,Shorts",Women
61,Sleepwear,"[62, 63, 64, 65]",2,No,"[2.0, 1.0, 0.0]",2,"['Nightgowns', 'Pajamas', 'Robes', 'Slippers']","['Clothing', 'Women', 'Main']","Main,Clothing,Sleepwear",Women
62,Nightgowns,[],61,Yes,"[61.0, 2.0, 1.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Sleepwear",Women
63,Pajamas,[],61,Yes,"[61.0, 2.0, 1.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Sleepwear",Women
64,Robes,[],61,Yes,"[61.0, 2.0, 1.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Sleepwear",Women
65,Slippers,[],61,Yes,"[61.0, 2.0, 1.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Sleepwear",Women
66,Skirts,"[67, 68, 69, 70, 71]",2,No,"[2.0, 1.0, 0.0]",2,"['Mini Skirts', 'Mid-length Skirts', 'Long Skirts', 'Maternity', 'Activewear']","['Clothing', 'Women', 'Main']","Main,Clothing,Skirts",Women
67,Mini Skirts,[],66,Yes,"[66.0, 2.0, 1.0, 0.0]",3,[],"['Skirts', 'Clothing', 'Women', 'Main']","Main,Clothing,Skirts,Short Skirts",Women
68,Mid-length Skirts,[],66,Yes,"[66.0, 2.0, 1.0, 0.0]",3,[],"['Skirts', 'Clothing', 'Women', 'Main']","Main,Clothing,Skirts",Women
69,Long Skirts,[],66,Yes,"[66.0, 2.0, 1.0, 0.0]",3,[],"['Skirts', 'Clothing', 'Women', 'Main']","Main,Clothing,Skirts,Long Skirts",Women
70,Maternity,[],66,Yes,"[66.0, 2.0, 1.0, 0.0]",3,[],"['Skirts', 'Clothing', 'Women', 'Main']","Main,Clothing,Skirts",Women
71,Activewear,[],66,Yes,"[66.0, 2.0, 1.0, 0.0]",3,[],"['Skirts', 'Clothing', 'Women', 'Main']","Main,Clothing,Skirts",Women
72,Suits,[],2,Yes,"[2.0, 1.0, 0.0]",2,[],"['Clothing', 'Women', 'Main']","Main,Clothing,Suits",Women
73,Sweaters,"[74, 75, 76, 77, 78, 79]",2,No,"[2.0, 1.0, 0.0]",2,"['Cardigans', 'Cashmere Sweaters', 'Crewneck', 'Turtleneck Sweaters', 'V-Neck Sweaters', 'Maternity']","['Clothing', 'Women', 'Main']","Main,Clothing,Sweaters",Women
74,Cardigans,[],73,Yes,"[73.0, 2.0, 1.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Women', 'Main']","Main,Clothing,Sweaters,Cardigans",Women
75,Cashmere Sweaters,[],73,Yes,"[73.0, 2.0, 1.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Women', 'Main']","Main,Clothing,Sweaters",Women
76,Crewneck,[],73,Yes,"[73.0, 2.0, 1.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Women', 'Main']","Main,Clothing,Sweaters",Women
77,Turtleneck Sweaters,[],73,Yes,"[73.0, 2.0, 1.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Women', 'Main']","Main,Clothing,Sweaters",Women
78,V-Neck Sweaters,[],73,Yes,"[73.0, 2.0, 1.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Women', 'Main']","Main,Clothing,Sweaters",Women
79,Maternity,[],73,Yes,"[73.0, 2.0, 1.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Women', 'Main']","Main,Clothing,Sweaters",Women
80,Swimwear,"[81, 82, 83, 84]",2,No,"[2.0, 1.0, 0.0]",2,"['One-Piece Swimwear', 'Two-Piece Swimwear', 'Cover-ups', 'Maternity']","['Clothing', 'Women', 'Main']","Main,Clothing,Swimwear",Women
81,One-Piece Swimwear,[],80,Yes,"[80.0, 2.0, 1.0, 0.0]",3,[],"['Swimwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Swimwear",Women
82,Two-Piece Swimwear,[],80,Yes,"[80.0, 2.0, 1.0, 0.0]",3,[],"['Swimwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Swimwear",Women
83,Cover-ups,[],80,Yes,"[80.0, 2.0, 1.0, 0.0]",3,[],"['Swimwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Swimwear",Women
84,Maternity,[],80,Yes,"[80.0, 2.0, 1.0, 0.0]",3,[],"['Swimwear', 'Clothing', 'Women', 'Main']","Main,Clothing,Swimwear",Women
85,Sweatshirts & Hoodies,[],2,Yes,"[2.0, 1.0, 0.0]",2,[],"['Clothing', 'Women', 'Main']","Main,Clothing,Hoodies & Sweatshirts",Women
86,Tops,"[87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]",2,No,"[2.0, 1.0, 0.0]",2,"['Blouses & Shirts', 'Activewear', 'Cashmere Tops', 'Crop Tops', 'Halters', 'Longsleeve Tops', 'Shortsleeve Tops', 'Sleeveless Tops', '3/4 Sleeve Tops', 'Tanks', 'Tees', 'Tunics', 'Maternity', 'Polos']","['Clothing', 'Women', 'Main']","Main,Clothing,Tops",Women
87,Blouses & Shirts,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops",Women
88,Activewear,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Activewear",Women
89,Cashmere Tops,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops",Women
90,Crop Tops,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Sleeveless",Women
91,Halters,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Sleeveless",Women
92,Longsleeve Tops,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Longsleeves",Women
93,Shortsleeve Tops,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Shortsleeves",Women
94,Sleeveless Tops,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Sleeveless",Women
95,3/4 Sleeve Tops,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops",Women
96,Tanks,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Sleeveless",Women
97,Tees,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Tees",Women
98,Tunics,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops",Women
99,Maternity,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops",Women
100,Polos,[],86,Yes,"[86.0, 2.0, 1.0, 0.0]",3,[],"['Tops', 'Clothing', 'Women', 'Main']","Main,Clothing,Tops,Shortsleeves",Women
101,Shoes,"[102, 106, 107, 108, 109, 110, 111, 112, 113, 117]",1,No,"[1.0, 0.0]",1,"['Boots & Booties', 'Comfort', 'Flats', 'Wedges', 'Heels', 'Mules & Slides', 'Sandals', 'Loafers & Slip-ons', 'Sneakers & Athletic', 'Hiking']","['Women', 'Main']","Main,Shoes",Women
102,Boots & Booties,"[103, 104, 105]",101,No,"[101.0, 1.0, 0.0]",2,"['Ankle Boots', 'Booties', 'Boots']","['Shoes', 'Women', 'Main']","Main,Shoes,Boots",Women
103,Ankle Boots,[],102,Yes,"[102.0, 101.0, 1.0, 0.0]",3,[],"['Boots & Booties', 'Shoes', 'Women', 'Main']","Main,Shoes,Boots,Short Boots",Women
104,Booties,[],102,Yes,"[102.0, 101.0, 1.0, 0.0]",3,[],"['Boots & Booties', 'Shoes', 'Women', 'Main']","Main,Shoes,Boots,Short Boots",Women
105,Boots,[],102,Yes,"[102.0, 101.0, 1.0, 0.0]",3,[],"['Boots & Booties', 'Shoes', 'Women', 'Main']","Main,Shoes,Boots",Women
106,Comfort,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes",Women
107,Flats,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes",Women
108,Wedges,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Wedges",Women
109,Heels,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Heels",Women
110,Mules & Slides,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Mules & Slides",Women
111,Sandals,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Sandals",Women
112,Loafers & Slip-ons,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Loafers & Slip-ons",Women
113,Sneakers & Athletic,"[114, 115, 116]",101,No,"[101.0, 1.0, 0.0]",2,"['Running', 'Trainers', 'Sneakers']","['Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
114,Running,[],113,Yes,"[113.0, 101.0, 1.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
115,Trainers,[],113,Yes,"[113.0, 101.0, 1.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
116,Sneakers,[],113,Yes,"[113.0, 101.0, 1.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
117,Hiking,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
118,Handbags,"[119, 120, 121, 122, 123, 124, 125, 126, 127]",1,No,"[1.0, 0.0]",1,"['Backpacks', 'Clutches', 'Crossbody Bags', 'Evening Handbags', 'Hobo Bags', 'Satchels', 'Shoulder Bags', 'Tote Bags', 'Wallets & Card Cases']","['Women', 'Main']","Main,Bags,Handbags",Women
119,Backpacks,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Backpacks",Women
120,Clutches,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Handbags",Women
121,Crossbody Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
122,Evening Handbags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Handbags",Women
