label_category_id,label_category_name,label_category_subcategories,label_category_parent,label_category_is_leaf,training_category_id,training_category_name,training_category_is_leaf,,
0,Jeans,[],75,TRUE,0,Jeans,TRUE,,
1,Formal Dresses,[],76,TRUE,1,Dresses,TRUE,,
2,Casual Dresses,[],76,TRUE,1,Dresses,TRUE,,
3,Intimate Wear,[],74,TRUE,2,Intimate Wear,TRUE,,
4,Underwear & Socks,[],74,TRUE,2,Intimate Wear,TRUE,,
5,Coats & Jackets,[],74,TRUE,3,Coats & Jackets,TRUE,,
6,Jumpers & Rompers,[],74,TRUE,4,Jumpers & Rompers,TRUE,,
7,Leggings,[],75,TRUE,5,Leggings,TRUE,,
8,Activewear,[],75,TRUE,6,Activewear,TRUE,,
9,Shorts,[],74,TRUE,7,Shorts,TRUE,,
10,Sleepwear,[],74,TRUE,8,Sleepwear,TRUE,,
11,Short Skirts,[],77,TRUE,9,Skirts,TRUE,,
12,Long Skirts,[],77,TRUE,9,Skirts,TRUE,,
13,Suits,[],74,TRUE,10,Suits,TRUE,,
14,Cardigans,[],78,TRUE,11,Cardigans,TRUE,,
15,Swimwear,[],74,TRUE,12,Swimwear,TRUE,,
16,Hoodies & Sweatshirts,[],74,TRUE,13,Hoodies & Sweatshirts,TRUE,,
17,Activewear,[],79,TRUE,14,Tops,TRUE,,
18,Sleeveless,[],79,TRUE,14,Tops,TRUE,,
19,Longsleeves,[],79,TRUE,14,Tops,TRUE,,
20,Shortsleeves,[],79,TRUE,14,Tops,TRUE,,
21,Tees,[],79,TRUE,14,Tops,TRUE,,
22,Short Boots,[],81,TRUE,15,Boots,TRUE,,
23,Wedges,[],80,TRUE,16,Wedges,TRUE,,
24,Heels,[],80,TRUE,17,Heels,TRUE,,
25,Mules & Slides,[],80,TRUE,18,Closed-Toe Flats,TRUE,,
26,Sandals,[],80,TRUE,19,Sandals,TRUE,,
27,Loafers & Slip-ons,[],80,TRUE,18,Closed-Toe Flats,TRUE,,
28,Sneakers & Athletic,[],80,TRUE,20,Sneakers & Athletic,TRUE,,
29,Handbags,[],82,TRUE,21,Bags,TRUE,,
30,Backpacks,[],82,TRUE,21,Bags,TRUE,,
31,Shoulder Bags,[],82,TRUE,21,Bags,TRUE,,
32,Totes,[],82,TRUE,21,Bags,TRUE,,
33,Wallets,[],83,TRUE,22,Wallets,TRUE,,
34,Belts,[],83,TRUE,23,Belts,TRUE,,
35,Gloves,[],83,TRUE,24,Gloves,TRUE,,
36,Hair Accessories,[],83,TRUE,25,Hair Accessories,TRUE,,
37,Hats,[],83,TRUE,26,Hats,TRUE,,
38,Electronics,[],73,TRUE,27,Electronics,TRUE,,
39,Phone Cases,[],83,TRUE,28,Phone Cases,TRUE,,
40,Scarves,[],83,TRUE,29,Scarves,TRUE,,
41,Eyeglasses,[],84,TRUE,30,Eyewear,TRUE,,
42,Sunglasses,[],84,TRUE,30,Eyewear,TRUE,,
43,Bracelets,[],85,TRUE,31,Bracelets,TRUE,,
44,Earrings,[],85,TRUE,32,Earrings,TRUE,,
45,Necklaces,[],85,TRUE,33,Necklaces,TRUE,,
46,Rings,[],85,TRUE,34,Rings,TRUE,,
47,Watches,[],85,TRUE,35,Watches,TRUE,,
48,Umbrellas,[],83,TRUE,36,Umbrellas,TRUE,,
49,Slippers,[],80,TRUE,37,Slippers,TRUE,,
50,Vests,[],78,TRUE,38,Vests,TRUE,,
51,Gym & Sports Bags,[],82,TRUE,21,Bags,TRUE,,
52,Ties,[],83,TRUE,39,Ties,TRUE,,
53,Activewear,[],74,TRUE,40,Activewear,TRUE,,
54,Baby Gear,[],73,TRUE,41,Baby Gear,TRUE,,
55,Toys & Games,[],73,TRUE,42,Toys & Games,TRUE,,
56,Sports & Outdoors,[],73,TRUE,43,Sports & Outdoors,TRUE,,
57,Bath,[],86,TRUE,44,Bath,TRUE,,
58,Bedding & Linens,[],86,TRUE,45,Bedding & Linens,TRUE,,
59,Rugs,[],87,TRUE,46,Rugs,TRUE,,
60,Indoor Furniture,[],88,TRUE,47,Indoor Furniture,TRUE,,
61,Kitchen,[],86,TRUE,48,Kitchen,TRUE,,
62,Outdoor Furniture,[],88,TRUE,49,Outdoor Furniture,TRUE,,
63,Luggage & Travel,[],73,TRUE,50,Luggage & Travel,TRUE,,
64,Makeup,[],89,TRUE,51,Makeup,TRUE,,
65,Skincare,[],89,TRUE,52,Skincare,TRUE,,
66,Hair,[],89,TRUE,53,Hair,TRUE,,
67,Fragrances,[],89,TRUE,54,Fragrances,TRUE,,
68,Books,[],90,TRUE,55,Entertainment,TRUE,,
69,Music,[],90,TRUE,55,Entertainment,TRUE,,
70,Movies,[],90,TRUE,55,Entertainment,TRUE,,
71,Food,[],73,TRUE,56,Food,TRUE,,
72,Tall Boots,[],81,TRUE,15,Boots,TRUE,,
73,Main,"[74, 80, 82, 83, 38, 54, 55, 56, 86, 63, 89, 90, 71]",,FALSE,57,Main,FALSE,,
74,Clothing,"[75, 76, 3, 4, 5, 6, 9, 10, 77, 13, 78, 15, 16, 79, 53]",73,FALSE,58,Clothing,FALSE,,
75,Pants,"[0, 7, 8]",74,FALSE,59,Pants,FALSE,,
76,Dresses,"[1, 2]",74,FALSE,1,Dresses,TRUE,,
77,Skirts,"[11, 12]",74,FALSE,9,Skirts,TRUE,,
78,Sweaters,"[14, 50]",74,FALSE,60,Sweaters,FALSE,,
79,Tops,"[17, 18, 19, 20, 21]",74,FALSE,14,Tops,TRUE,,
80,Shoes,"[81, 23, 24, 25, 26, 27, 28, 49]",73,FALSE,61,Shoes,FALSE,,
81,Boots,"[22, 72]",80,FALSE,15,Boots,TRUE,,
82,Bags,"[29, 30, 31, 32, 51]",73,FALSE,21,Bags,TRUE,,
83,Accessories,"[33, 34, 35, 36, 37, 39, 40, 84, 85, 48, 52]",73,FALSE,62,Accessories,FALSE,,
84,Eyewear,"[41, 42]",83,FALSE,30,Eyewear,TRUE,,
85,Jewelry,"[43, 44, 45, 46, 47]",83,FALSE,63,Jewelry,FALSE,,
86,Home & Decor,"[57, 58, 87, 88, 61]",73,FALSE,64,Home & Decor,FALSE,,
87,Decor,[59],86,FALSE,65,Decor,FALSE,,
88,Furniture,"[60, 62]",86,FALSE,66,Furniture,FALSE,,
89,Hair & Beauty,"[64, 65, 66, 67]",73,FALSE,67,Hair & Beauty,FALSE,,
90,Entertainment,"[68, 69, 70]",73,FALSE,55,Entertainment,TRUE,,
